a0,alpha,n_iter,output_width,prior_p_pos,v,x_id
0.1,0.55,7,0.5,0.51,0.9994379151609406,x
0.1,0.6,8,0.5,0.51,0.9994164594141559,x
0.1,0.65,8,0.5,0.51,0.9993932441225406,x
0.1,0.7,8,0.5,0.51,0.9993680969969134,x
0.1,0.75,8,0.5,0.51,0.9993407663854578,x
0.1,0.8,9,0.5,0.51,0.9993110899153014,x
0.1,0.8500000000000001,9,0.5,0.51,0.9992785019591397,x
0.1,0.9,9,0.5,0.51,0.9992426823433858,x
0.1,0.95,9,0.5,0.51,0.9992031403731307,x
0.1,1.0,9,0.5,0.51,0.9991592921157104,x
0.1,1.05,8,0.5,0.51,0.9991102980250022,x
0.1,1.1,7,0.5,0.51,0.9990559986368189,x
0.1,1.15,10,0.5,0.51,0.9989939339140955,x
0.1,1.2000000000000002,12,0.5,0.51,0.9989230428370962,x
0.1,1.25,14,0.5,0.51,0.9988413822617336,x
0.1,1.3,16,0.5,0.51,0.9987463828353517,x
0.1,1.35,18,0.5,0.51,0.9986345203985902,x
0.1,1.4,20,0.5,0.51,0.9985009052755927,x
0.1,1.4500000000000002,23,0.5,0.51,0.9983381717377727,x
0.1,1.5,26,0.5,0.51,0.9981362731524278,x
0.1,1.55,30,0.5,0.51,0.9978787781157333,x
0.1,1.6,36,0.5,0.51,0.9975390665239745,x
0.1,1.6500000000000001,43,0.5,0.51,0.9970721266119886,x
0.1,1.7000000000000002,54,0.5,0.51,0.996390224574044,x
0.1,1.75,71,0.5,0.51,0.995308150337261,x
0.1,1.8,99,0.5,0.51,0.9933603563391289,x
0.1,1.85,154,0.5,0.51,0.9890857064239861,x
0.1,1.9000000000000001,200,0.5,0.51,0.9772024201049128,x
0.1,1.9500000000000002,200,0.5,0.51,0.9466885594689237,x
0.1,2.0,200,0.5,0.51,0.8916576574395121,x
0.1,2.05,200,0.5,0.51,0.7788434583064837,x
0.1,2.1,110,0.5,0.51,3.668807539122479e-07,x
0.1,2.1500000000000004,76,0.5,0.51,9.999999999840633e-12,x
0.1,2.2,61,0.5,0.51,9.99999999983693e-12,x
0.1,2.25,52,0.5,0.51,9.99999999983322e-12,x
0.1,2.3,45,0.5,0.51,1.2850132325598007e-08,x
0.1,2.35,41,0.5,0.51,9.999999999825805e-12,x
0.1,2.4000000000000004,37,0.5,0.51,7.056735242146033e-11,x
0.1,2.45,34,0.5,0.51,9.999999999818391e-12,x
0.1,2.5,32,0.5,0.51,9.999999999814683e-12,x
0.1,2.5500000000000003,30,0.5,0.51,9.999999999810977e-12,x
0.1,2.6,29,0.5,0.51,9.999999999807276e-12,x
0.1,2.65,27,0.5,0.51,9.99999999980357e-12,x
0.1,2.7,26,0.5,0.51,9.999999999799859e-12,x
0.1,2.75,25,0.5,0.51,9.999999999796156e-12,x
0.1,2.8000000000000003,24,0.5,0.51,9.999999999792447e-12,x
0.1,2.85,23,0.5,0.51,9.999999999788748e-12,x
0.1,2.9000000000000004,22,0.5,0.51,2.523174865153105e-11,x
0.1,2.95,22,0.5,0.51,9.99999999978133e-12,x
0.1,3.0,21,0.5,0.51,9.99999999977763e-12,x
0.1,0.55,10,1.0,0.51,0.9990167088742675,x
0.1,0.6,14,1.0,0.51,0.9988670192822998,x
0.1,0.65,18,1.0,0.51,0.9986639445526523,x
0.1,0.7,23,1.0,0.51,0.9983732209584462,x
0.1,0.75,31,1.0,0.51,0.997923540105003,x
0.1,0.8,44,1.0,0.51,0.9971424294335548,x
0.1,0.8500000000000001,68,1.0,0.51,0.9954983551691846,x
0.1,0.9,123,1.0,0.51,0.9907292381622653,x
0.1,0.95,167,1.0,0.51,0.9747154944224599,x
0.1,1.0,142,1.0,0.51,0.9446632574832661,x
0.1,1.05,120,1.0,0.51,0.9061821089857542,x
0.1,1.1,108,1.0,0.51,0.8602586939975616,x
0.1,1.15,102,1.0,0.51,0.8053059362075597,x
0.1,1.2000000000000002,104,1.0,0.51,0.7371339912985185,x
0.1,1.25,118,1.0,0.51,0.6438038074901218,x
0.1,1.3,163,1.0,0.51,9.999999999903638e-12,x
0.1,1.35,57,1.0,0.51,9.999999999899932e-12,x
0.1,1.4,43,1.0,0.51,9.999999999896224e-12,x
0.1,1.4500000000000002,36,1.0,0.51,9.999999999892516e-12,x
0.1,1.5,31,1.0,0.51,9.999999999888811e-12,x
0.1,1.55,28,1.0,0.51,9.999999999885107e-12,x
0.1,1.6,26,1.0,0.51,9.999999999881398e-12,x
0.1,1.6500000000000001,24,1.0,0.51,9.999999999877696e-12,x
0.1,1.7000000000000002,22,1.0,0.51,4.2471149065371496e-08,x
0.1,1.75,21,1.0,0.51,9.999999999870279e-12,x
0.1,1.8,20,1.0,0.51,9.999999999866573e-12,x
0.1,1.85,19,1.0,0.51,3.416587696557191e-11,x
0.1,1.9000000000000001,18,1.0,0.51,9.999999999859162e-12,x
0.1,1.9500000000000002,18,1.0,0.51,9.99999999985546e-12,x
0.1,2.0,17,1.0,0.51,9.999999999851748e-12,x
0.1,2.05,17,1.0,0.51,9.999999999848042e-12,x
0.1,2.1,16,1.0,0.51,9.999999999844336e-12,x
0.1,2.1500000000000004,16,1.0,0.51,9.99999999984063e-12,x
0.1,2.2,15,1.0,0.51,2.037486049634163e-10,x
0.1,2.25,15,1.0,0.51,9.99999999983322e-12,x
0.1,2.3,15,1.0,0.51,9.999999999829511e-12,x
0.1,2.35,14,1.0,0.51,1.3901964567899638e-11,x
0.1,2.4000000000000004,14,1.0,0.51,9.999999999822099e-12,x
0.1,2.45,14,1.0,0.51,9.999999999818394e-12,x
0.1,2.5,13,1.0,0.51,6.642576622827768e-08,x
0.1,2.5500000000000003,13,1.0,0.51,9.999999999810989e-12,x
0.1,2.6,13,1.0,0.51,9.999999999807276e-12,x
0.1,2.65,13,1.0,0.51,9.999999999803567e-12,x
0.1,2.7,13,1.0,0.51,9.999999999799859e-12,x
0.1,2.75,12,1.0,0.51,1.1903864897534307e-08,x
0.1,2.8000000000000003,12,1.0,0.51,9.999999999792447e-12,x
0.1,2.85,12,1.0,0.51,9.999999999788748e-12,x
0.1,2.9000000000000004,12,1.0,0.51,9.999999999785039e-12,x
0.1,2.95,12,1.0,0.51,9.999999999781333e-12,x
0.1,3.0,12,1.0,0.51,9.999999999777622e-12,x
0.1,0.55,19,1.5,0.51,0.998604175793591,x
0.1,0.6,26,1.5,0.51,0.9982042431657456,x
0.1,0.65,38,1.5,0.51,0.9974990983551487,x
0.1,0.7,60,1.5,0.51,0.9959935683618716,x
0.1,0.75,100,1.5,0.51,0.9917816018346449,x
0.1,0.8,120,1.5,0.51,0.9802657586758071,x
0.1,0.8500000000000001,102,1.5,0.51,0.9617215429710934,x
0.1,0.9,86,1.5,0.51,0.9395887723469811,x
0.1,0.95,75,1.5,0.51,0.9151447429857791,x
0.1,1.0,67,1.5,0.51,0.8888257813514809,x
0.1,1.05,62,1.5,0.51,0.8608411737331116,x
0.1,1.1,58,1.5,0.51,0.831325724901551,x
0.1,1.15,55,1.5,0.51,0.8003860158002489,x
0.1,1.2000000000000002,53,1.5,0.51,0.7681229498308937,x
0.1,1.25,51,1.5,0.51,0.734646128210784,x
0.1,1.3,49,1.5,0.51,0.7000846443855172,x
0.1,1.35,48,1.5,0.51,0.6645980196157654,x
0.1,1.4,46,1.5,0.51,0.6283884680790335,x
0.1,1.4500000000000002,45,1.5,0.51,0.5917050947012289,x
0.1,1.5,44,1.5,0.51,0.5548502088143665,x
0.1,1.55,43,1.5,0.51,0.518170751651239,x
0.1,1.6,41,1.5,0.51,0.48204114651327745,x
0.1,1.6500000000000001,40,1.5,0.51,0.4468300906915958,x
0.1,1.7000000000000002,39,1.5,0.51,0.41286664640025283,x
0.1,1.75,38,1.5,0.51,0.38040090992546494,x
0.1,1.8,37,1.5,0.51,0.3495789667405694,x
0.1,1.85,37,1.5,0.51,0.32043230671748507,x
0.1,1.9000000000000001,36,1.5,0.51,0.2928842213715351,x
0.1,1.9500000000000002,36,1.5,0.51,0.2667551122130981,x
0.1,2.0,36,1.5,0.51,0.2417709278329588,x
0.1,2.05,37,1.5,0.51,0.2175425072497392,x
0.1,2.1,39,1.5,0.51,0.19349463177669632,x
0.1,2.1500000000000004,44,1.5,0.51,0.16861896219500272,x
0.1,2.2,56,1.5,0.51,0.1403685267585491,x
0.1,2.25,78,1.5,0.51,9.999999999833213e-12,x
0.1,2.3,35,1.5,0.51,9.999999999829515e-12,x
0.1,2.35,28,1.5,0.51,9.999999999825802e-12,x
0.1,2.4000000000000004,24,1.5,0.51,9.999999999822093e-12,x
0.1,2.45,22,1.5,0.51,9.999999999818388e-12,x
0.1,2.5,20,1.5,0.51,8.059930815007846e-09,x
0.1,2.5500000000000003,19,1.5,0.51,9.999999999810974e-12,x
0.1,2.6,18,1.5,0.51,9.999999999807268e-12,x
0.1,2.65,17,1.5,0.51,3.5588671780941785e-08,x
0.1,2.7,17,1.5,0.51,9.999999999799869e-12,x
0.1,2.75,16,1.5,0.51,9.999999999796156e-12,x
0.1,2.8000000000000003,16,1.5,0.51,9.999999999792443e-12,x
0.1,2.85,15,1.5,0.51,9.999999999788748e-12,x
0.1,2.9000000000000004,15,1.5,0.51,9.999999999785042e-12,x
0.1,2.95,14,1.5,0.51,9.999999999781323e-12,x
0.1,3.0,14,1.5,0.51,9.999999999777619e-12,x
